[?1034hBID = 1.35805 , ASK = 0 , AVG = 1.35805
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803521983
BID = 1.35805 , ASK = 1.3583 , AVG = 1.3580267231
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804954474
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803291865
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803257309
BID = 1.358 , ASK = 1.3583 , AVG = 1.35802692849
BID = 1.358 , ASK = 1.3583 , AVG = 1.35801828622
BID = 1.358 , ASK = 1.3583 , AVG = 1.3580253676
BID = 1.358 , ASK = 1.3583 , AVG = 1.35800641625
BID = 1.358 , ASK = 1.3583 , AVG = 1.35801718655
BID = 1.358 , ASK = 1.3583 , AVG = 1.35801389161
BID = 1.358 , ASK = 1.3583 , AVG = 1.35798587957
BID = 1.358 , ASK = 1.3583 , AVG = 1.35799230196
BID = 1.358 , ASK = 1.3583 , AVG = 1.35801100944
BID = 1.358 , ASK = 1.35825 , AVG = 1.35800981146
BID = 1.358 , ASK = 1.35825 , AVG = 1.35800949704
BID = 1.358 , ASK = 1.35825 , AVG = 1.35801250256
BID = 1.358 , ASK = 1.35825 , AVG = 1.35800709273
BID = 1.35805 , ASK = 1.35825 , AVG = 1.35801106443
BID = 1.35805 , ASK = 1.35825 , AVG = 1.35801800896
BID = 1.35805 , ASK = 1.35825 , AVG = 1.35802513839
BID = 1.35805 , ASK = 1.35825 , AVG = 1.35804610906
BID = 1.35805 , ASK = 1.35825 , AVG = 1.35802697583
BID = 1.35805 , ASK = 1.35825 , AVG = 1.3580513057
BID = 1.35805 , ASK = 1.35825 , AVG = 1.35806401704
BID = 1.35805 , ASK = 1.35825 , AVG = 1.35805331411
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804196597
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35803798352
BID = 1.35805 , ASK = 1.35845 , AVG = 1.358035937
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35803917422
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35803753657
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35803976957
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35800677092
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35801920415
BID = 1.35805 , ASK = 1.35845 , AVG = 1.3580354286
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35803422355
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803951227
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803998477
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804187121
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35803925889
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804305068
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804395126
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804305068
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804196597
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804364041
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804383253
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804052884
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804500798
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804070209
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35806087656
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805832983
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804914222
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35804698387
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805143912
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805087495
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805201335
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805142278
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805258758
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35807049514
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35807093196
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805762884
BID = 1.35805 , ASK = 1.3583 , AVG = 1.35805874611
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805413676
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805412313
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805292031
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805525958
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806155546
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805014558
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805128202
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35804898609
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805241847
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805014896
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805355491
BID = 1.35805 , ASK = 1.35845 , AVG = 1.3580537242
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805128202
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35804658082
BID = 1.35805 , ASK = 1.35845 , AVG = 1.3580558278
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805646954
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805525958
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35804836667
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805753246
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805755737
BID = 1.35805 , ASK = 1.35845 , AVG = 1.3580570887
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805472011
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805821962
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805378148
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805935054
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805803782
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806048145
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806024962
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806161237
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35805956692
BID = 1.35805 , ASK = 1.35845 , AVG = 1.35806274329
